Temperature,Ni,Al,Co,Cr,Mo,Re,Ru,Ti,Ta,W,Hf,Nb,Si,C,Y,Ce,B,k(g2/m4/h),Ni_a,Al_a,Co_a,Cr_a,Mo_a,Re_a,Ru_a,Ti_a,Ta_a,W_a,Hf_a
1100,60.444,6,9,4.5,1.8,4,0,0,4,8.5,0,1.6,0,0.15,0.003,0,0.003,3.776143948,0.000729618,1.08E-07,0.00024385,0.000831021,0.000312534,0.000273573,1.46E-14,2.35E-18,1.21E-08,0.000853038,4.70E-20
900,65.554,6.2,8.7,4.4,1.1,0,0,0,3.8,8.5,0,1.6,0,0.14,0.003,0,0.003,0.80409917,0.00131783,7.73E-09,0.000554457,0.001442833,0.000191914,3.43E-14,5.73E-14,4.72E-19,1.10E-09,0.000902646,6.69E-21
1000,65.554,6.2,8.7,4.4,1.1,0,0,0,3.8,8.5,0,1.6,0,0.14,0.003,0,0.003,0.200860833,0.001034468,2.72E-08,0.000372198,0.001054735,0.000190865,1.83E-14,2.85E-14,9.79E-19,3.06E-09,0.000797987,1.70E-20
1100,65.554,6.2,8.7,4.4,1.1,0,0,0,3.8,8.5,0,1.6,0,0.14,0.003,0,0.003,0.01687031,0.000817851,7.88E-08,0.000249496,0.000749533,0.000178986,9.79E-15,1.47E-14,1.54E-18,7.39E-09,0.000711273,3.83E-20
950,64.681,6.1,5,7.5,2,0,0,0,6.5,8,0.15,0,0,0.05,0.015,0,0.004,27.98059301,0.000889011,3.15E-08,0.000260867,0.003352083,0.000691289,3.21E-14,3.95E-14,1.80E-18,5.14E-09,0.001909709,6.99E-12
950,67.2,5.5,4.8,11,3.9,0,0,2.6,0,5,0,0,0,0,0,0,0,660.2207331,0.000860424,3.35E-08,0.000155005,0.004219615,0.001103371,3.09E-14,3.15E-14,3.73E-08,4.63E-19,0.001394038,5.57E-20
1000,67.7,6.1,5.5,8.1,2.2,0,0,2,3.4,5,0,0,0,0,0,0,0,12.99248122,0.000813652,4.70E-08,0.000209055,0.002941802,0.000650297,2.82E-14,3.13E-14,3.51E-08,4.75E-09,0.001103728,4.83E-20
900,67.7,6.1,5.5,8.1,2.2,0,0,2,3.4,5,0,0,0,0,0,0,0,10.16712767,0.000973628,1.66E-08,0.000285234,0.004564294,0.000903545,5.00E-14,5.78E-14,1.40E-08,1.79E-09,0.001626841,2.28E-20
1100,60.6,6,9.5,5,1,3.5,0,0.3,6,8,0.1,0,0,0,0,0,0,350.2114999,0.000658925,1.28E-07,0.000278034,0.001074975,0.00020415,0.000244607,1.62E-14,1.30E-08,2.38E-08,0.001003356,2.20E-11
1100,79.05,7.7,0,2.2,7,1,0,0,3,0,0,0,0,0,0.05,0,0,0.931933961,0.00108574,4.59E-08,1.19E-15,0.000329576,0.001362629,0.00012407,2.01E-14,8.82E-19,8.26E-10,2.17E-14,1.27E-20
1100,79.65,7.1,0,2.2,7,1,0,0,3,0,0,0,0,0,0.05,0,0,1.17553404,0.001129739,4.01E-08,1.12E-15,0.000274329,0.001198953,0.000100949,1.72E-14,7.02E-19,8.98E-10,1.65E-14,1.33E-20
1150,69.57,5.7,3,2,0.4,6,0,0.2,8,5,0.03,0.1,0,0,0,0,0,187.6405572,0.000903245,6.49E-08,9.35E-05,0.000301059,7.88E-05,0.000553408,1.59E-14,3.46E-09,9.57E-09,0.000313955,3.77E-12
900,69.57,5.7,3,2,0.4,6,0,0.2,8,5,0.03,0.1,0,0,0,0,0,3.465997953,0.001714807,3.84E-09,0.000243675,0.000519537,0.000122334,0.001139941,7.54E-14,2.83E-10,4.74E-10,0.000403227,2.39E-13
